 TONINHO VESPOLI,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,KALUNGA COMÉRCIO INDUSTRIA GRÁFICA LTDA,43.283.811/0139-95,"105,70",03/2018
 TONINHO VESPOLI,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,KALUNGA COM. E IND. GRÁFICA LTDA,43.283.811/0177-10,"197,82",03/2018
 TONINHO VESPOLI,TELEFONE FIXO,TELEFONICA BRASIL S/A,02.558.157/0001-62,"165,71",03/2018
 TONINHO VESPOLI,TELEFONE MOVEL,TELEFONICA BRASIL S/A,02.558.157/0001-62,"489,99",03/2018
 TONINHO VESPOLI,TELEFONE MOVEL,OI MÓVEL S.A.,05.423.963/0026-70,"74,78",03/2018
 TONINHO VESPOLI,COMBUSTIVEL,AUTO POSTO GUAIRACA LTDA,43.234.889/0001-84,"699,00",04/2018
 TONINHO VESPOLI,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,FORMA CERTA GRAFICA  DIGITAL LTDA,07.691.829/0001-27,"6.443,00",04/2018
 TONINHO VESPOLI,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,OLIGRAFICA COMERCIO E INDUSTRIA GRAFICA LTDA-ME,57.642.381/0001-20,"230,00",04/2018
 TONINHO VESPOLI,CONTRATAÇAO DE PESSOA JURIDICA,WILQ VICENTE DOS SANTOS -ME,18.152.664/0001-31,"3.500,00",04/2018
 TONINHO VESPOLI,CONTRATAÇAO DE PESSOA JURIDICA,JULIANA RISOLI GHIZZI,29.666.296/0001-66,"3.500,00",04/2018
 TONINHO VESPOLI,CORREIOS,ECT  - EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS,01.711.288/0001-75,"7.955,00",04/2018
 TONINHO VESPOLI,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,CONVEX LOCAÇÃO DE EQUIPAMENTOS PARA EVENTOS LTDA-EPP,07.066.295/0001-48,"260,00",04/2018
 TONINHO VESPOLI,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,KITANI LOCAÇÃO E COMÉRCIO DE EQUIPAMENTOS LTDA,49.557.960/0001-46,"1.006,01",04/2018
 TONINHO VESPOLI,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,"4.248,95",04/2018
 TONINHO VESPOLI,TELEFONE FIXO,TELEFONICA BRASIL S/A,02.558.157/0001-62,"168,43",04/2018
 TONINHO VESPOLI,TELEFONE MOVEL,TELEFONICA BRASIL S/A,02.558.157/0001-62,"489,99",04/2018
 TONINHO VESPOLI,APERFEIÇOAMENTO PROFISSIONAL,"POLIS INSTITUTO DE ASSESSORIA, FORMAÇÃO E ESTUDOS EM POLITICAS SOCIAIS",57.752.206/0001-95,"800,00",05/2018
 TONINHO VESPOLI,COMBUSTIVEL,AUTO POSTO GUAIRACA LTDA,43.234.889/0001-84,"547,00",05/2018
 TONINHO VESPOLI,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,FORMA CERTA GRAFICA  DIGITAL LTDA,07.691.829/0001-27,"6.515,00",05/2018
 TONINHO VESPOLI,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,OLIGRAFICA COMERCIO E INDUSTRIA GRAFICA LTDA-ME,57.642.381/0001-20,"1.400,00",05/2018
 TONINHO VESPOLI,CONTRATAÇAO DE PESSOA JURIDICA,JULIANA RISOLI GHIZZI,29.666.296/0001-66,"3.500,00",05/2018
 TONINHO VESPOLI,CONTRATAÇAO DE PESSOA JURIDICA,ANDRE FEITOSA ALCANTARA,29.992.029/0001-89,"2.800,00",05/2018
 TONINHO VESPOLI,CORREIOS,ECT  - EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS,01.711.288/0001-75,"1.186,25",05/2018
 TONINHO VESPOLI,LIVROS,SOLLUS DISTRIBUIDORA DE LIVROS LTDA,03.770.167/0001-20,"158,00",05/2018
 TONINHO VESPOLI,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,CONVEX LOCAÇÃO DE EQUIPAMENTOS PARA EVENTOS LTDA-EPP,07.066.295/0001-48,"260,00",05/2018
 TONINHO VESPOLI,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,KITANI LOCAÇÃO E COMÉRCIO DE EQUIPAMENTOS LTDA,49.557.960/0001-46,"1.005,80",05/2018
 TONINHO VESPOLI,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,"2.304,85",05/2018
 TONINHO VESPOLI,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,KALUNGA COMÉRCIO INDUSTRIA GRÁFICA LTDA,43.283.811/0139-95,"417,14",05/2018
 TONINHO VESPOLI,TELEFONE FIXO,TELEFONICA BRASIL S/A,02.558.157/0001-62,"166,11",05/2018
 TONINHO VESPOLI,TELEFONE MOVEL,TELEFONICA BRASIL S/A,02.558.157/0001-62,"489,99",05/2018
 TONINHO VESPOLI,COMBUSTIVEL,AUTO POSTO GUAIRACA LTDA,43.234.889/0001-84,"856,00",06/2018
 TONINHO VESPOLI,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,FORMA CERTA GRAFICA  DIGITAL LTDA,07.691.829/0001-27,"4.015,00",06/2018
 TONINHO VESPOLI,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,OLIGRAFICA COMERCIO E INDUSTRIA GRAFICA LTDA-ME,57.642.381/0001-20,"3.553,00",06/2018
 TONINHO VESPOLI,CONTRATAÇAO DE PESSOA JURIDICA,JULIANA RISOLI GHIZZI,29.666.296/0001-66,"3.500,00",06/2018
 TONINHO VESPOLI,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,CONVEX LOCAÇÃO DE EQUIPAMENTOS PARA EVENTOS LTDA-EPP,07.066.295/0001-48,"260,00",06/2018
 TONINHO VESPOLI,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,KITANI LOCAÇÃO E COMÉRCIO DE EQUIPAMENTOS LTDA,49.557.960/0001-46,"1.007,59",06/2018
 TONINHO VESPOLI,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,"739,45",06/2018
